video_id,frame,event_type,stroke_type,point_end_type,player
Indoor Match 1 15.53.25,750,point_start,,,
Indoor Match 1 15.53.25,750,hit,serve,,
Indoor Match 1 15.53.25,760,point_end,,net_error,
Indoor Match 1 15.53.25,1452,point_start,,,
Indoor Match 1 15.53.25,1452,hit,serve,,
Indoor Match 1 15.53.25,1472,bounce,,,
Indoor Match 1 15.53.25,1482,hit,backhand,,
Indoor Match 1 15.53.25,1510,bounce,,,
Indoor Match 1 15.53.25,1525,hit,backhand,,
Indoor Match 1 15.53.25,1553,bounce,,,
Indoor Match 1 15.53.25,1562,hit,backhand,,
Indoor Match 1 15.53.25,1590,bounce,,,
Indoor Match 1 15.53.25,1590,point_end,,unforced_error,
Indoor Match 1 15.53.25,2217,point_start,,,
Indoor Match 1 15.53.25,2217,hit,serve,,
Indoor Match 1 15.53.25,2233,bounce,,,
Indoor Match 1 15.53.25,2246,hit,forehand,,
Indoor Match 1 15.53.25,2271,bounce,,,
Indoor Match 1 15.53.25,2290,hit,forehand,,
Indoor Match 1 15.53.25,2315,bounce,,,
Indoor Match 1 15.53.25,2329,hit,backhand,,
Indoor Match 1 15.53.25,2360,bounce,,,
Indoor Match 1 15.53.25,2360,point_end,,net_error,
Indoor Match 1 15.53.25,3254,point_start,,,
Indoor Match 1 15.53.25,3254,hit,serve,,
Indoor Match 1 15.53.25,3271,bounce,,,
Indoor Match 1 15.53.25,3271,point_end,,unforced_error,
Indoor Match 1 15.53.25,3937,point_start,,,
Indoor Match 1 15.53.25,3937,hit,serve,,
Indoor Match 1 15.53.25,3956,bounce,,,
Indoor Match 1 15.53.25,3969,hit,forehand,,
Indoor Match 1 15.53.25,3995,bounce,,,
Indoor Match 1 15.53.25,3995,point_end,,unforced_error,
Indoor Match 1 15.53.25,6145,point_start,,,
Indoor Match 1 15.53.25,6145,hit,serve,,
Indoor Match 1 15.53.25,6162,bounce,,,
Indoor Match 1 15.53.25,6179,hit,forehand,,
Indoor Match 1 15.53.25,6205,bounce,,,
Indoor Match 1 15.53.25,6214,hit,backhand,,
Indoor Match 1 15.53.25,6243,bounce,,,
Indoor Match 1 15.53.25,6258,hit,forehand,,
Indoor Match 1 15.53.25,6301,hit,forehand,,
Indoor Match 1 15.53.25,6343,bounce,,,
Indoor Match 1 15.53.25,6355,hit,forehand,,
Indoor Match 1 15.53.25,6378,bounce,,,
Indoor Match 1 15.53.25,6397,hit,backhand,,
Indoor Match 1 15.53.25,6428,bounce,,,
Indoor Match 1 15.53.25,6448,hit,backhand,,
Indoor Match 1 15.53.25,6481,bounce,,,
Indoor Match 1 15.53.25,6481,point_end,,unforced_error,
Indoor Match 1 15.53.25,7244,point_start,,,
Indoor Match 1 15.53.25,7244,hit,serve,,
Indoor Match 1 15.53.25,7257,point_end,,net_error,
Indoor Match 1 15.53.25,7475,point_start,,,
Indoor Match 1 15.53.25,7475,hit,serve,,
Indoor Match 1 15.53.25,7495,bounce,,,
Indoor Match 1 15.53.25,7513,hit,backhand,,
Indoor Match 1 15.53.25,7535,bounce,,,
Indoor Match 1 15.53.25,7549,hit,backhand,,
Indoor Match 1 15.53.25,7579,bounce,,,
Indoor Match 1 15.53.25,7598,hit,forehand,,
Indoor Match 1 15.53.25,7645,hit,forehand,,
Indoor Match 1 15.53.25,7681,bounce,,,
Indoor Match 1 15.53.25,7700,hit,forehand,,
Indoor Match 1 15.53.25,7713,point_end,,net_error,
Indoor Match 1 15.53.25,8599,point_start,,,
Indoor Match 1 15.53.25,8599,hit,serve,,
Indoor Match 1 15.53.25,8614,bounce,,,
Indoor Match 1 15.53.25,8631,hit,forehand,,
Indoor Match 1 15.53.25,8690,point_end,,forced_error,
Indoor Match 1 15.53.25,9269,hit,serve,,
Indoor Match 1 15.53.25,9269,point_start,,,
Indoor Match 1 15.53.25,9282,point_end,,net_error,
Indoor Match 1 15.53.25,9631,hit,serve,,
Indoor Match 1 15.53.25,9631,point_start,,,
Indoor Match 1 15.53.25,9648,bounce,,,
Indoor Match 1 15.53.25,9661,hit,forehand,,
Indoor Match 1 15.53.25,9687,bounce,,,
Indoor Match 1 15.53.25,9697,hit,backhand,,
Indoor Match 1 15.53.25,9734,bounce,,,
Indoor Match 1 15.53.25,9756,hit,forehand,,
Indoor Match 1 15.53.25,9782,bounce,,,
Indoor Match 1 15.53.25,9796,hit,backhand,,
Indoor Match 1 15.53.25,9831,bounce,,,
Indoor Match 1 15.53.25,9842,hit,backhand,,
Indoor Match 1 15.53.25,9875,bounce,,,
Indoor Match 1 15.53.25,9888,hit,backhand,,
